#SampleID	Sample_Site	Lake	Sample_Method	Month_collected	Month_0	Replicate	Matrix	Sample_Blank	Collected_Date	Sample	qbit_conc_extraction	read_count	replicate_count	day_year	PC_R1	PC_R2	PC_R3	PE_R1	PE_R2	PE_R3	salinity
#q2:types	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
LMPw072622WLW3	LMP	Lower Mill Pond	WLW	7	1	3	water	Sample	7/26/22	LMPw072622WLW	0.892	63365	1	384	13.11	10.83	11.87	0.59	0.59	0.59	
LMPw0801221	LMP	Lower Mill Pond	<5	8	2	1	water	Sample	8/1/22	LMPw080122	2.02	341846	1	390	14.15	17.06	13.11	0.55	0.59	0.55	
LMPw0801222	LMP	Lower Mill Pond	<5	8	2	2	water	Sample	8/1/22	LMPw080122	1.28	1735	3	390	30.57	30.78	32.44	0.64	0.55	0.59	
LMPw0801223	LMP	Lower Mill Pond	<5	8	2	3	water	Sample	8/1/22	LMPw080122	1.39	16984	2	390	14.15	17.06	13.11	0.55	0.59	0.55	
LMPw080122BFC1	LMP	Lower Mill Pond	BFC	8	2	1	water	Sample	8/1/22	LMPw080122BFC	0.752	118850	1	390	2638.65	656.39	2265.95	3.5	3.23	3.05	
LMPw080122BFC2	LMP	Lower Mill Pond	BFC	8	2	2	water	Sample	8/1/22	LMPw080122BFC	0.276	183	3	390	2638.65	656.39	2265.95	3.5	3.23	3.05	
LMPw080122BFC3	LMP	Lower Mill Pond	BFC	8	2	3	water	Sample	8/1/22	LMPw080122BFC	0.222	3089	2	390	2638.65	656.39	2265.95	3.5	3.23	3.05	
LMPw080122WLW1	LMP	Lower Mill Pond	WLW	8	2	1	water	Sample	8/1/22	LMPw080122WLW	3.26	6679	3	390	79.83	83.16	70.48	0.86	0.73	0.59	
LMPw080122WLW2	LMP	Lower Mill Pond	WLW	8	2	2	water	Sample	8/1/22	LMPw080122WLW	2.2	13853	1	390	79.83	83.16	70.48	0.86	0.73	0.59	
LMPw080122WLW3	LMP	Lower Mill Pond	WLW	8	2	3	water	Sample	8/1/22	LMPw080122WLW	1.92	6688	2	390	79.83	83.16	70.48	0.86	0.73	0.59	
LMPW0805221	LMP	Lower Mill Pond		8	2		Water	Sample	8/5/22	LMPW080522	4.82	236440	1	394							
LMPw080522WLW1	LMP	Lower Mill Pond	WLW	8	2	1	Water	Sample	8/5/22	LMPw080522WLW	4.66	356519	1	394	46.58	45.75	48.86	0.73	0.64	2.79	
LMPw0809221	LMP	Lower Mill Pond	<5	8	2	1	water	Sample	8/9/22	LMPw080922	1	278773	1	398	39.51	38.89	40.34	0.82	0.77	0.95	
LMPw0809222	LMP	Lower Mill Pond	<5	8	2	2	water	Sample	8/9/22	LMPw080922	1.93	12600	3	398	39.51	38.89	40.34	0.82	0.77	0.95	
LMPw0809223	LMP	Lower Mill Pond	<5	8	2	3	water	Sample	8/9/22	LMPw080922	1.65	179207	2	398	39.51	38.89	40.34	0.82	0.77	0.95	
LMPw080922BFC1	LMP	Lower Mill Pond	BFC	8	2	1	water	Sample	8/9/22	LMPw080922BFC	0.746	107870	2	398	414.49	145.34	233.74	4.08	2.07	3.59	
LMPw080922BFC2	LMP	Lower Mill Pond	WLW	8	2	2	water	Sample	8/9/22	LMPw080922BFC	0.226	844	1	398	82.33	55.51	62.37	0.91	0.86	0.91	
LMPw080922BFC3	LMP	Lower Mill Pond	BFC	8	2	3	water	Sample	8/9/22	LMPw080922BFC	0.238	6015	3	398	414.49	145.34	233.74	4.08	2.07	3.59	
LMPw080922WLW1	LMP	Lower Mill Pond	WLW	8	2	1	water	Sample	8/9/22	LMPw080922WLW			1	398	82.33	55.51	62.37	0.91	0.86	0.91	
LMPw080922WLW2	LMP	Lower Mill Pond	WLW	8	2	2	water	Sample	8/9/22	LMPw080922WLW	3.72	35952	2	398	82.33	55.51	62.37	0.91	0.86	0.91	
LMPw080922WLW3	LMP	Lower Mill Pond	WLW	8	2	3	water	Sample	8/9/22	LMPw080922WLW	1.47	3626	3	398	82.33	55.51	62.37	0.91	0.86	0.91	
LMPw0816221	LMP	Lower Mill Pond	<5	8	2	1	water	Sample	8/16/22	LMPw081622	1.46	38596	3	405	19.35	19.14	19.76	1.17	1.17	1.22	
LMPw0816222	LMP	Lower Mill Pond	<5	8	2	2	water	Sample	8/16/22	LMPw081622	2.56	162297	2	405	19.35	19.14	19.76	1.17	1.17	1.22	
LMPw0816223	LMP	Lower Mill Pond	<5	8	2	3	water	Sample	8/16/22	LMPw081622	1.64	169784	1	405	19.35	19.14	19.76	1.17	1.17	1.22	
LMPw081622BFC1	LMP	Lower Mill Pond	BFC	8	2	1	water	Sample	8/16/22	LMPw081622BFC	0.416	5957	3	405	528.68	226.25	174.46	3.64	2.83	2.7	
LMPw081622BFC2	LMP	Lower Mill Pond	BFC	8	2	2	water	Sample	8/16/22	LMPw081622BFC	0.416	17966	2	405	528.68	226.25	174.46	3.64	2.83	2.7	
LMPw081622BFC3	LMP	Lower Mill Pond	BFC	8	2	3	water	Sample	8/16/22	LMPw081622BFC	0.31	71360	1	405	528.68	226.25	174.46	3.64	2.83	2.7	
LMPw081622WLW1	LMP	Lower Mill Pond	WLW	8	2	1	water	Sample	8/16/22	LMPw081622WLW	2.74	3956	3	405	71.1	82.74	53.23	1.26	1.49	1.17	
LMPw081622WLW2	LMP	Lower Mill Pond	WLW	8	2	2	water	Sample	8/16/22	LMPw081622WLW	1.88	24209	2	405	71.1	82.74	53.23	1.26	1.49	1.17	
LMPw081622WLW3	LMP	Lower Mill Pond	WLW	8	2	3	water	Sample	8/16/22	LMPw081622WLW	2.5	52325	1	405	71.1	82.74	53.23	1.26	1.49	1.17	
LMPw0823221	LMP	Lower Mill Pond	<5	8	2	1	water	Sample	8/23/22	LMPw082322	1.32	8152	3	412	16.02	16.02	17.48	0.7	0.68	0.64	
LMPw0823222	LMP	Lower Mill Pond	<5	8	2	2	water	Sample	8/23/22	LMPw082322	1.74	14601	2	412	16.02	16.02	17.48	0.7	0.68	0.64	
LMPw0823223	LMP	Lower Mill Pond	<5	8	2	3	water	Sample	8/23/22	LMPw082322	0.974	27148	1	412	16.02	16.02	17.48	0.7	0.68	0.64	
LMPw082322BFC1	LMP	Lower Mill Pond	BFC	8	2	1	water	Sample	8/23/22	LMPw082322BFC	0.436	1462	3	412	64.66	82.54	49.49	0.95	0.82	0.82	
LMPw082322BFC2	LMP	Lower Mill Pond	BFC	8	2	2	water	Sample	8/23/22	LMPw082322BFC	0.34	1622	2	412	64.66	82.54	49.49	0.95	0.82	0.82	
LMPw082322BFC3	LMP	Lower Mill Pond	BFC	8	2	3	water	Sample	8/23/22	LMPw082322BFC	0.222	7194	1	412	64.66	82.54	49.49	0.95	0.82	0.82	
LMPw082322WLW1	LMP	Lower Mill Pond	WLW	8	2	1	water	Sample	8/23/22	LMPw082322WLW	2.74	207286	1	412	46.99	45.95	60.92	0.55	0.46	0.55	
LMPw082322WLW2	LMP	Lower Mill Pond	WLW	8	2	2	water	Sample	8/23/22	LMPw082322WLW	1.95	52715	2	412	46.99	45.95	60.92	0.55	0.46	0.55	
LMPw082322WLW3	LMP	Lower Mill Pond	WLW	8	2	3	water	Sample	8/23/22	LMPw082322WLW	2.14	5280	3	412	46.99	45.95	60.92	0.55	0.46	0.55	
LMPw0830221	LMP	Lower Mill Pond	<5	8	2	1	water	Sample	8/30/22	LMPw083022	1.17	6157	3	419	9.16	11.03	7.9	0.64	0.86	0.41	
LMPw0830222	LMP	Lower Mill Pond	<5	8	2	2	water	Sample	8/30/22	LMPw083022	0.912	35642	2	419	9.16	11.03	7.9	0.64	0.86	0.41	
LMPw0830223	LMP	Lower Mill Pond	<5	8	2	3	water	Sample	8/30/22	LMPw083022	1.71	182313	1	419	9.16	11.03	7.9	0.64	0.86	0.41	
LMPw083022BFC1	LMP	Lower Mill Pond	BFC	8	2	1	water	Sample	8/30/22	LMPw083022BFC	0.346	649	3	419	43.87	84.2	46.78	1.44	0.95	0.77	
LMPw083022BFC2	LMP	Lower Mill Pond	BFC	8	2	2	water	Sample	8/30/22	LMPw083022BFC	0.234	14104	1	419	43.87	84.2	46.78	1.44	0.95	0.77	
LMPw083022BFC3	LMP	Lower Mill Pond	BFC	8	2	3	water	Sample	8/30/22	LMPw083022BFC	0.398	9948	2	419	43.87	84.2	46.78	1.44	0.95	0.77	
LMPw083022WLW1	LMP	Lower Mill Pond	WLW	8	2	1	water	Sample	8/30/22	LMPw083022WLW	1.43	3672	3	419	16.85	16.02	26	0.37	0.59	0.86	
LMPw083022WLW2	LMP	Lower Mill Pond	WLW	8	2	2	water	Sample	8/30/22	LMPw083022WLW	1.44	24277	2	419	16.85	16.02	26	0.37	0.59	0.86	
LMPw083022WLW3	LMP	Lower Mill Pond	WLW	8	2	3	water	Sample	8/30/22	LMPw083022WLW	1.83	965000	1	419	16.85	16.02	26	0.37	0.59	0.86	
LMPw0909221	LMP	Lower Mill Pond	<5	9	3	1	water	Sample	9/9/22	LMPw090922	1.95	18616	2	429	22.47	23.92	20.6	0.23	0.28	0.23	
LMPw0909222	LMP	Lower Mill Pond	<5	9	3	2	water	Sample	9/9/22	LMPw090922	2.7	211050	1	429	22.47	23.92	20.6	0.23	0.28	0.23	
LMPw0909223	LMP	Lower Mill Pond	<5	9	3	3	water	Sample	9/9/22	LMPw090922	1.86	5872	3	429	22.47	23.92	20.6	0.23	0.28	0.23	
LMPw090922BFC1	LMP	Lower Mill Pond	BFC	9	3	1	water	Sample	9/9/22	LMPw090922BFC	0.282	26634	2	429	2018.46	430.5	233.53	1.31	0.55	0.64	
LMPw090922BFC2	LMP	Lower Mill Pond	BFC	9	3	2	water	Sample	9/9/22	LMPw090922BFC	0.222	24384	3	429	2018.46	430.5	233.53	1.31	0.55	0.64	
LMPw090922BFC3	LMP	Lower Mill Pond	BFC	9	3	3	water	Sample	9/9/22	LMPw090922BFC	0.178		1	429	2018.46	430.5	233.53	1.31	0.55	0.64	
LMPw090922WLW1	LMP	Lower Mill Pond	WLW	9	3	1	water	Sample	9/9/22	LMPw090922WLW	3.38	8195	3	429	123.08	113.72	120.59	0.59	0.64	0.64	
LMPw090922WLW2	LMP	Lower Mill Pond	WLW	9	3	2	water	Sample	9/9/22	LMPw090922WLW	2.14	25300	2	429	123.08	113.72	120.59	0.59	0.64	0.64	
LMPw090922WLW3	LMP	Lower Mill Pond	WLW	9	3	3	water	Sample	9/9/22	LMPw090922WLW	3.62	31670	1	429	123.08	113.72	120.59	0.59	0.64	0.64	
LMPw0913221	LMP	Lower Mill Pond	<5	9	3	1	water	Sample	9/13/22	LMPw091322	1.01	152309	1	433	11.03	11.24	9.37	0.23	0.23	0.14	
LMPw0913222	LMP	Lower Mill Pond	<5	9	3	2	water	Sample	9/13/22	LMPw091322	0.772	137817	2	433	11.03	11.24	9.37	0.23	0.23	0.14	
LMPw0913223	LMP	Lower Mill Pond	<5	9	3	3	water	Sample	9/13/22	LMPw091322	4.02	63768	3	433	11.03	11.24	9.37	0.23	0.23	0.14	
LMPw091322BFC1	LMP	Lower Mill Pond	BFC	9	3	1	water	Sample	9/13/22	LMPw091322BFC	0.25	93246	2	433	206.49	198.17	185.27	1.26	1.13	1.13	
LMPw091322BFC2	LMP	Lower Mill Pond	BFC	9	3	2	water	Sample	9/13/22	LMPw091322BFC	0.178	130548	1	433	206.49	198.17	185.27	1.26	1.13	1.13	
LMPw091322BFC3	LMP	Lower Mill Pond	BFC	9	3	3	water	Sample	9/13/22	LMPw091322BFC	0.13	3975	3	433	206.49	198.17	185.27	1.26	1.13	1.13	
LMPw091322WLW1	LMP	Lower Mill Pond	WLW	9	3	1	water	Sample	9/13/22	LMPw091322WLW	1.01	11615	3	433	73.35	72.35	63.62	0.5	0.5	0.68	
LMPw091322WLW2	LMP	Lower Mill Pond	WLW	9	3	2	water	Sample	9/13/22	LMPw091322WLW	3.8	386904	1	433	73.35	72.35	63.62	0.5	0.5	0.68	
LMPw091322WLW3	LMP	Lower Mill Pond	WLW	9	3	3	water	Sample	9/13/22	LMPw091322WLW	2.04	296264	2	433	73.35	72.35	63.62	0.5	0.5	0.68	
LMPw0916221	LMP	Lower Mill Pond	<5	9	3	1	water	Sample	9/16/22	LMPw091622	1.06	3825	3	436	26.21	18.31	21.22	0.73	0.68	0.68	
LMPw0916222	LMP	Lower Mill Pond	<5	9	3	2	water	Sample	9/16/22	LMPw091622	0.58	35878	1	436	26.21	18.31	21.22	0.73	0.68	0.68	
LMPw0916223	LMP	Lower Mill Pond	<5	9	3	3	water	Sample	9/16/22	LMPw091622	0.758	30427	2	436	26.21	18.31	21.22	0.73	0.68	0.68	
LMPw091622BFC1	LMP	Lower Mill Pond	BFC	9	3	1	water	Sample	9/16/22	LMPw091622BFC	0.742	53804	2	436	332.95	187.15	179.03	1.35	1.53	1.76	
LMPw091622BFC2	LMP	Lower Mill Pond	BFC	9	3	2	water	Sample	9/16/22	LMPw091622BFC	0.228	63221	1	436	332.95	187.15	179.03	1.35	1.53	1.76	
LMPw091622BFC3	LMP	Lower Mill Pond	BFC	9	3	3	water	Sample	9/16/22	LMPw091622BFC	0.402	18003	3	436	332.95	187.15	179.03	1.35	1.53	1.76	
LMPw091622WLW1	LMP	Lower Mill Pond	WLW	9	3	1	water	Sample	9/16/22	LMPw091622WLW	1.84	125315	1	436	111.85	117.26	116.63	1.04	0.95	0.95	
LMPw091622WLW2	LMP	Lower Mill Pond	WLW	9	3	2	water	Sample	9/16/22	LMPw091622WLW	1.45	68102	2	436	111.85	117.26	116.63	1.04	0.95	0.95	
LMPw091622WLW3	LMP	Lower Mill Pond	WLW	9	3	3	water	Sample	9/16/22	LMPw091622WLW	1.62	21271	3	436	111.85	117.26	116.63	1.04	0.95	0.95	
LMPw0920221	LMP	Lower Mill Pond	<5	9	3	1	water	Sample	9/20/22	LMPw092022	2.5	244516	1	440	22.26	29.33	18.1	0.77	0.68	0.59	
LMPw0920222	LMP	Lower Mill Pond	<5	9	3	2	water	Sample	9/20/22	LMPw092022	1.02	61281	2	440	22.26	29.33	18.1	0.77	0.68	0.59	
LMPw0920223	LMP	Lower Mill Pond	<5	9	3	3	water	Sample	9/20/22	LMPw092022	0.872	30139	3	440	22.26	29.33	18.1	0.77	0.68	0.59	
LMPw092022BFC1	LMP	Lower Mill Pond	BFC	9	3	1	water	Sample	9/20/22	LMPw092022BFC	0.502	2196	3	440	191.51	149.08	809.05	1.44	1.49	1.76	
LMPw092022BFC2	LMP	Lower Mill Pond	BFC	9	3	2	water	Sample	9/20/22	LMPw092022BFC	0.298	4668	2	440	191.51	149.08	809.05	1.44	1.49	1.76	
LMPw092022BFC3	LMP	Lower Mill Pond	BFC	9	3	3	water	Sample	9/20/22	LMPw092022BFC	0.28	40754	1	440	191.51	149.08	809.05	1.44	1.49	1.76	
LMPw092022WLW1	LMP	Lower Mill Pond	WLW	9	3	1	water	Sample	9/20/22	LMPw092022WLW	1.37	11836	3	440	139.1	162.19	126.62	0.95	1.22	0.73	
LMPw092022WLW2	LMP	Lower Mill Pond	WLW	9	3	2	water	Sample	9/20/22	LMPw092022WLW	1.61	17881	2	440	139.1	162.19	126.62	0.95	1.22	0.73	
LMPw092022WLW3	LMP	Lower Mill Pond	WLW	9	3	3	water	Sample	9/20/22	LMPw092022WLW	1.37	106456	1	440	139.1	162.19	126.62	0.95	1.22	0.73	
LMPw0927221	LMP	Lower Mill Pond	<5	9	3	1	water	Sample	9/27/22	LMPw092722	1.67	39490	2	447	21.63	23.92	24.13	0.68	0.68	0.73	
LMPw0927222	LMP	Lower Mill Pond	<5	9	3	2	water	Sample	9/27/22	LMPw092722	1.66	7651	3	447	21.63	23.92	24.13	0.68	0.68	0.73	
LMPw0927223	LMP	Lower Mill Pond	<5	9	3	3	water	Sample	9/27/22	LMPw092722	1.69	133823	1	447	21.63	23.92	24.13	0.68	0.68	0.73	
LMPw092722BFC1	LMP	Lower Mill Pond	BFC	9	3	1	water	Sample	9/27/22	LMPw092722BFC	0.102	4988	3	447	228.12	401.59	218.55	1.9	2.38	1.89	
LMPw092722BFC2	LMP	Lower Mill Pond	BFC	9	3	2	water	Sample	9/27/22	LMPw092722BFC	0.232	14342	2	447	228.12	401.59	218.55	1.9	2.38	1.89	
LMPw092722BFC3	LMP	Lower Mill Pond	BFC	9	3	3	water	Sample	9/27/22	LMPw092722BFC	0.184	153589	1	447	228.12	401.59	218.55	1.9	2.38	1.89	
LMPw092722WLW1	LMP	Lower Mill Pond	WLW	9	3	1	water	Sample	9/27/22	LMPw092722WLW	2.1	33968	3	447	36.6	73.6	71.52	0.77	0.68	0.68	
LMPw092722WLW2	LMP	Lower Mill Pond	WLW	9	3	2	water	Sample	9/27/22	LMPw092722WLW	1.63	37702	2	447	36.6	73.6	71.52	0.77	0.68	0.68	
LMPw092722WLW3	LMP	Lower Mill Pond	WLW	9	3	3	water	Sample	9/27/22	LMPw092722WLW	2.3	114538	1	447	36.6	73.6	71.52	0.77	0.68	0.68	
LMPw1013221	LMP	Lower Mill Pond	<5	10	4	1	water	Sample	10/13/22	LMPw101322	1.58	326683	2	463	10	8.95	11.66	0.23	0.19	0.23	
LMPw1013222	LMP	Lower Mill Pond	<5	10	4	2	water	Sample	10/13/22	LMPw101322	1.44	431465	1	463	10	8.95	11.66	0.23	0.19	0.23	
LMPw1013223	LMP	Lower Mill Pond	<5	10	4	3	water	Sample	10/13/22	LMPw101322	1.01	301876	3	463	10	8.95	11.66	0.23	0.19	0.23	
LMPw101322BFC1	LMP	Lower Mill Pond	BFC	10	4	1	water	Sample	10/13/22	LMPw101322BFC	0.106	261935	1	463	127	783.47	103.74	0.03	0.77	0.41	
LMPw101322BFC2	LMP	Lower Mill Pond	BFC	10	4	2	water	Sample	10/13/22	LMPw101322BFC	0.152	192384	2	463	127	783.47	103.74	0.03	0.77	0.41	
LMPw101322BFC3	LMP	Lower Mill Pond	BFC	10	4	3	water	Sample	10/13/22	LMPw101322BFC	0	64312	3	463	127	783.47	103.74	0.03	0.77	0.41	
LMPw101322WLW1	LMP	Lower Mill Pond	WLW	10	4	1	water	Sample	10/13/22	LMPw101322WLW	1.4	259406	2	463	35.15	24.54	35.98	0.19	0.23	0.19	
LMPw101322WLW2	LMP	Lower Mill Pond	WLW	10	4	2	water	Sample	10/13/22	LMPw101322WLW	1.31	119063	3	463	35.15	24.54	35.98	0.19	0.23	0.19	
LMPw101322WLW3	LMP	Lower Mill Pond	WLW	10	4	3	water	Sample	10/13/22	LMPw101322WLW	0.774	850534	1	463	35.15	24.54	35.98	0.19	0.23	0.19	
SKT4w0804221	SKT4	Seng Konkaton	<5	8	2	1	water	Sample	8/4/22	SKT4w080422	0.53		2	393	8.16	7.79	7.97	2.15	2.26	2.26	30.58
SKT4w0804222	SKT4	Seng Konkaton	<5	8	2	2	water	Sample	8/4/22	SKT4w080422	0.42		1	393	8.16	7.79	7.97	2.15	2.26	2.26	30.58
SKT4w080422WLW1	SKT4	Seng Konkaton	WLW	8	2	1	water	Sample	8/4/22	SKT4w080422WLW	0.546		2	393	8.34	8.53	7.61	2.42	2.37	2.15	30.58
SKT4w080422WLW2	SKT4	Seng Konkaton	WLW	8	2	2	water	Sample	8/4/22	SKT4w080422WLW	0.356		1	393	8.34	8.53	7.61	2.42	2.37	2.15	30.58
SKT4w0817221	SKT4	Seng Konkaton	<5	8	2	1	water	Sample	8/17/22	SKT4w081722	0.72		2	406	1	1.37	1	1	0.83	0.78	30.84
SKT4w0817222	SKT4	Seng Konkaton	<5	8	2	2	water	Sample	8/17/22	SKT4w081722	0.238		1	406	1	1.37	1	1	0.83	0.78	30.84
SKT4w081722WLW1	SKT4	Seng Konkaton	WLW	8	2	1	water	Sample	8/17/22	SKT4w081722WLW	0.364		2	406	2.68	1.98	2.12	0.71	0.77	1.05	30.84
SKT4w081722WLW2	SKT4	Seng Konkaton	WLW	8	2	2	water	Sample	8/17/22	SKT4w081722WLW	0.202		1	406	2.68	1.98	2.12	0.71	0.77	1.05	30.84
SKT4w0907221	SKT4	Seng Konkaton	<5	9	3	1	water	Sample	9/7/22	SKT4w090722	0.558	2976	1	427							25.9
SKT4w090722WLW1	SKT4	Seng Konkaton	WLW	9	3	1	water	Sample	9/7/22	SKT4w090722WLW	0.658	302678	1	427							25.9
SKT4w090722WLW2	SKT4	Seng Konkaton	WLW	9	3	2	water	Sample	9/7/22	SKT4w090722WLW	0.712	117344	2	427							25.9
SKT8w0804221	SKT8	Seng Konkaton	<5	8	2	1	water	Sample	8/4/22	SKT8w080422	0.582		1	393	7.97	8.16	8.23	1.27	1.27	1.27	31.6
SKT8w080422WLW1	SKT8	Seng Konkaton	WLW	8	2	1	water	Sample	8/4/22	SKT8w080422WLW	0.874		2	393	5.4	7.05	6.14	1.1	1.32	1.16	31.6
SKT8w080422WLW2	SKT8	Seng Konkaton	WLW	8	2	2	water	Sample	8/4/22	SKT8w080422WLW	0.838		1	393	5.4	7.05	6.14	1.1	1.32	1.16	31.76
SKT8w0817221	SKT8	Seng Konkaton	<5	8	2	1	water	Sample	8/17/22	SKT8w081722	0.426		2	406	1	0.56	0.52	0.55	0.83	0.77	31.76
SKT8w0817222	SKT8	Seng Konkaton	<5	8	2	2	water	Sample	8/17/22	SKT8w081722	0.268		1	406	1	0.56	0.52	0.55	0.83	0.77	31.76
SKT8w081722WLW1	SKT8	Seng Konkaton	WLW	8	2	1	water	Sample	8/17/22	SKT8w081722WLW	0.516		2	406	1.37	1	0.65	0.6	0.55	0.6	31.76
SKT8w081722WLW2	SKT8	Seng Konkaton	WLW	8	2	2	water	Sample	8/17/22	SKT8w081722WLW	1.68		1	406	1.37	1	0.65	0.6	0.55	0.6	31.3
SKT8w0907221	SKT8	Seng Konkaton	<5	9	3	1	water	Sample	9/7/22	SKT8w090722	0.152	2343	1	427							31.3
SKT8w090722WLW1	SKT8	Seng Konkaton	WLW	9	3	1	water	Sample	9/7/22	SKT8w090722WLW	0.236	32872	1	427							31.3
SKT8w090722WLW2	SKT8	Seng Konkaton	WLW	9	3	2	water	Sample	9/7/22	SKT8w090722WLW	0.202	624	2	427							31.3
SKT9w0707221	SKT9	Seng Konkaton	<5	7	1	1	water	Sample	7/7/22	SKT9w070722	0.148		1	365							29.83
SKT9w070722WLW1	SKT9	Seng Konkaton	WLW	7	1	1	water	Sample	7/7/22	SKT9w070722WLW	0		1	365							29.83
SKT9w0804221	SKT9	Seng Konkaton	<5	8	2	1	water	Sample	8/4/22	SKT9w080422	0.264		2	393	8.71	9.08	9.08	1.32	1.49	1.6	31.13
SKT9w0804222	SKT9	Seng Konkaton	<5	8	2	2	water	Sample	8/4/22	SKT9w080422	0.218		1	393	8.71	9.08	9.08	1.32	1.49	1.6	31.13
SKT9w080422WLW1	SKT9	Seng Konkaton	WLW	8	2	1	water	Sample	8/4/22	SKT9w080422WLW	0.524		2	393	8.16	7.79	7.79	1.38	1.32	1.27	31.13
SKT9w080422WLW2	SKT9	Seng Konkaton	WLW	8	2	2	water	Sample	8/4/22	SKT9w080422WLW	0		1	393	8.16	7.79	7.79	1.38	1.32	1.27	31.13
SKT9w0817221	SKT9	Seng Konkaton	<5	8	2	1	water	Sample	8/17/22	SKT9w081722	0.508		2	406	0.1	0	0.1	0.38	0.43	0.77	30.99
SKT9w0817222	SKT9	Seng Konkaton	<5	8	2	2	water	Sample	8/17/22	SKT9w081722	0.378		1	406	0.1	0	0.1	0.38	0.43	0.77	30.99
SKT9w081722WLW1	SKT9	Seng Konkaton	WLW	8	2	1	water	Sample	8/17/22	SKT9w081722WLW	0.156		2	406	1	0.77	0.77	0.83	0.49	0.55	30.99
SKT9w081722WLW2	SKT9	Seng Konkaton	WLW	8	2	2	water	Sample	8/17/22	SKT9w081722WLW	0.162		1	406	1	0.77	0.77	0.83	0.49	0.55	30.99
SKT9w0907221	SKT9	Seng Konkaton	<5	9	3	1	water	Sample	9/7/22	SKT9w090722	0.272	14058	2	427							30.69
SKT9w0907222	SKT9	Seng Konkaton	<5	9	3	2	water	Sample	9/7/22	SKT9w090722	0.178	31647	1	427							30.69
SKT9w090722WLW1	SKT9	Seng Konkaton	WLW	9	3	1	water	Sample	9/7/22	SKT9w090722WLW	0.332	239832	1	427							30.69
SKT9w090722WLW2	SKT9	Seng Konkaton	WLW	9	3	2	water	Sample	9/7/22	SKT9w090722WLW	0.136	16874	2	427							30.69
TGP1A070721B	TGP1	Tisberry Great Pond		7	1		Air	Sample	7/7/21	TGP1A070721	0	1102	2	0							
TGP1A070721C	TGP1	Tisberry Great Pond		7	1		Air	Sample	7/21/21	TGP1A070721	0	7031	1	0							
TGP1A072121A	TGP1	Tisberry Great Pond		7	1		Air	Sample	7/21/21	TGP1A072121	0	1682	1	0							
TGP1A083122Gen2	TGP1	Tisberry Great Pond		8	2		Air	Sample	8/31/22	TGP1A083122Gen	0	30467	1	406							
TGP1w0829221	TGP1	Tisberry Great Pond	<5	8	2	1	water	Sample	8/29/22	TGP1w082922	2.04		2	418	31.45	32.4	31.64	1.7	2.08	1.86	15.7
TGP1w0829222	TGP1	Tisberry Great Pond	<5	8	2	2	water	Sample	8/29/22	TGP1w082922	1.6		1	418	31.45	32.4	31.64	1.7	2.08	1.86	15.7
TGP1w082922WLW1	TGP1	Tisberry Great Pond	WLW	8	2	1	water	Sample	8/29/22	TGP1w082922WLW	2.62		2	418	38.48	30.31	39.24	1.75	1.81	1.92	15.7
TGP1w082922WLW2	TGP1	Tisberry Great Pond	WLW	8	2	2	water	Sample	8/29/22	TGP1w082922WLW	2.56		1	418							15.7
TGP7A070721B	TGP7	Tisberry Great Pond		7	1		Air	Sample	0707/2021	TGP7A070721	0	2387	2								
TGP7A070721C	TGP7	Tisberry Great Pond		7	1		Air	Sample	07/072021	TGP7A070721	0	28435	1								
TGP7A072121A	TGP7	Tisberry Great Pond		7	1		Air	Sample	7/21/21	TGP7A072121	0	7636	1	0							
TGP7w0829221	TGP7	Tisberry Great Pond	<5	8	2	1	water	Sample	8/29/22	TGP7w082922	2.1		2	404	30.12	29.93	30.31	1.75	1.92	1.51	17.26
TGP7w0829222	TGP7	Tisberry Great Pond	<5	8	2	2	water	Sample	8/29/22	TGP7w082922	1.17		1	404	30.12	29.93	30.31	1.75	1.92	1.51	17.26
TGP7w082922WLW1	TGP7	Tisberry Great Pond	WLW	8	2	1	water	Sample	8/29/22	TGP7w082922WLW	1.8		2	404	34.68	34.49	33.92	2.08	2.03	2.24	17.26
TGP7w082922WLW2	TGP7	Tisberry Great Pond	WLW	8	2	2	water	Sample	8/29/22	TGP7w082922WLW	1.46		1	404	34.68	34.49	33.92	2.08	2.03	2.24	17.26
TGP7w0913221	TGP7	Tisberry Great Pond	<5	9	3	1	water	Sample	9/13/22	TGP7w091322	5.46	137055	1	419	19.3	20.82	21.39	1.16	1.32	1.48	15.66
TGP7w091322WLW1	TGP7	Tisberry Great Pond	WLW	9	3	1	water	Sample	9/13/22	TGP7w091322WLW	3.66	298498	1	419	19.87	19.87	24.24	1.54	1.65	2.24	15.66
THKA0805221	TK	Tahoe Keys		8	2		Air	Sample	8/5/22	THKA080522	0	1956	1	25							
THPA0805221	TP	Tahoe Pier		8	2		Air	Sample	8/5/22	THPA080522	0	233	1	25							
THPw080522WLW1	TP	Tahoe Pier	WLW	8	2	1	Water	Sample	8/5/22	THPw080522WLW	2.96	253788	1	25							
TSHCulw0711221	TSHCul	Tashmoo Culvert	<5	7	1	1	water	Sample	7/11/22	TSHCulw071122	0.26		2	0	2.12	1.75	2.31	0.66	0.71	0.71	31.45
